osmid,y,x,highway,street_count,lon,lat,elevation,ref,geometry
6594723693,5028879.670297656,724764.8121851468,,1,11.8707114,45.3773476,10.929,,POINT (724764.8121851468 5028879.670297656)
6594723688,5028826.68360988,724769.0159913982,,3,11.8707409,45.3768699,11.11,,POINT (724769.0159913982 5028826.68360988)
5421083150,5028615.366142243,724758.5813400752,,3,11.8705116,45.3749735,10.809,,POINT (724758.5813400752 5028615.366142243)
702882999,5028898.984958847,724446.1945859456,,1,11.8666559,45.3776234,12.465,,POINT (724446.1945859456 5028898.984958847)
8993582903,5029061.861880719,724657.2851349666,,1,11.8694227,45.37902,11.19,,POINT (724657.2851349666 5029061.861880719)
6594616641,5029065.0913429735,724712.2562494953,,3,11.8701254,45.3790314,10.924,,POINT (724712.2562494953 5029065.0913429735)
702882898,5028831.863274948,724456.0970733223,,1,11.8667517,45.3770168,11.77,,POINT (724456.0970733223 5028831.863274948)
6594318261,5029075.644504519,724709.9904081549,,3,11.8701013,45.379127,10.962,,POINT (724709.9904081549 5029075.644504519)
703495263,5029374.867257667,724878.6031425796,,2,11.8723885,45.3817629,10.916,,POINT (724878.6031425796 5029374.867257667)
6597524274,5029374.79395263,724882.1567735234,crossing,4,11.8724338,45.3817611,10.988,,POINT (724882.1567735234 5029374.79395263)
6597178256,5029374.838139294,724875.296175159,,2,11.8723463,45.3817637,10.876,,POINT (724875.296175159 5029374.838139294)
6597499432,5029384.54639605,724882.3885393396,,4,11.8724412,45.3818487,10.946,,POINT (724882.3885393396 5029384.54639605)
703495277,5029309.185025189,724916.0283108712,,3,11.872836,45.3811604,10.91,,POINT (724916.0283108712 5029309.185025189)
6597499449,5029310.545121497,724879.3639349352,,3,11.8723689,45.3811844,10.791,,POINT (724879.3639349352 5029310.545121497)
703495272,5029306.0978944665,724878.801578364,crossing,4,11.8723597,45.3811446,10.844,,POINT (724878.801578364 5029306.0978944665)
7894483325,5029305.674322073,724872.8590919253,,3,11.8722837,45.3811427,10.923,,POINT (724872.8590919253 5029305.674322073)
6630975027,5029301.833842304,724867.1718922388,,4,11.8722094,45.38111,11.035,,POINT (724867.1718922388 5029301.833842304)
703495278,5029312.962936683,724957.0165726481,,1,11.8733606,45.3811812,11.561,,POINT (724957.0165726481 5029312.962936683)
6630975028,5029305.269972683,724867.1432487743,,3,11.8722106,45.3811409,10.965,,POINT (724867.1432487743 5029305.269972683)
7886224459,5029310.009392973,724872.4612660665,,4,11.8722806,45.3811818,10.858,,POINT (724872.4612660665 5029310.009392973)
6597249952,5029299.680578223,724835.2187590755,,3,11.8718008,45.3811009,10.744,,POINT (724835.2187590755 5029299.680578223)
6597499445,5029290.932076535,724864.3472326777,,3,11.8721684,45.3810129,10.99,,POINT (724864.3472326777 5029290.932076535)
703495275,5029389.806840466,724882.9845470357,crossing,4,11.8724512,45.3818958,11.253,,POINT (724882.9845470357 5029389.806840466)
6597524283,5029398.500060696,724883.4579495104,crossing,4,11.8724612,45.3819738,11.555,,POINT (724883.4579495104 5029398.500060696)
703495292,5029396.888898374,724923.3682381371,,3,11.8729696,45.3819465,10.853,,POINT (724923.3682381371 5029396.888898374)
6597499416,5029402.404686029,724884.4002541117,,3,11.872475,45.3820086,11.445,,POINT (724884.4002541117 5029402.404686029)
6630975049,5029391.496287785,725000.02121645,,3,11.873945,45.3818734,11.301,,POINT (725000.02121645 5029391.496287785)
703495293,5029394.146400443,724994.4941788472,,3,11.8738757,45.381899,10.973,,POINT (724994.4941788472 5029394.146400443)
703495286,5029378.358523915,725258.8376077403,,4,11.8772407,45.3816721,10.702,,POINT (725258.8376077403 5029378.358523915)
6422498302,5029386.570621808,725281.9273107063,,3,11.877539,45.3817385,10.991,,POINT (725281.9273107063 5029386.570621808)
703498661,5029370.247914157,725110.4311695546,,3,11.8753438,45.3816469,10.785,,POINT (725110.4311695546 5029370.247914157)
6422498305,5029319.066741444,725297.6060966206,,1,11.8777082,45.3811266,11.527,,POINT (725297.6060966206 5029319.066741444)
2568021586,5029359.468979414,725099.2227543506,,3,11.8751959,45.3815536,10.561,,POINT (725099.2227543506 5029359.468979414)
703498658,5029241.5158484895,725079.6322084158,,3,11.8748922,45.3804995,10.406,,POINT (725079.6322084158 5029241.5158484895)
2404189973,5029502.673531927,725294.5482371559,,3,11.877753,45.3827782,11.25,,POINT (725294.5482371559 5029502.673531927)
6630975041,5029403.077443386,724994.1515271561,,4,11.8738754,45.3819794,11.087,,POINT (724994.1515271561 5029403.077443386)
6630975040,5029403.204171523,724997.6980025962,,4,11.8739207,45.3819794,11.106,,POINT (724997.6980025962 5029403.204171523)
6630975042,5029422.75370353,724993.495462142,,3,11.873876,45.3821565,11.407,,POINT (724993.495462142 5029422.75370353)
6630975043,5029398.258141812,724976.6392562394,,3,11.8736498,45.3819417,10.999,,POINT (724976.6392562394 5029398.258141812)
703495295,5029430.666886829,724993.30676311,,3,11.8738772,45.3822277,11.496,,POINT (724993.30676311 5029430.666886829)
2568021653,5029432.6098964885,724993.2059773906,,3,11.8738768,45.3822452,11.588,,POINT (724993.2059773906 5029432.6098964885)
6630975034,5029430.859701682,725029.8288134779,,1,11.8743432,45.3822177,11.738,,POINT (725029.8288134779 5029430.859701682)
6630975036,5029432.601084055,724976.1490141365,,3,11.8736592,45.3822506,11.671,,POINT (724976.1490141365 5029432.601084055)
6630975035,5029520.569841222,724992.4536522274,,1,11.8739073,45.3830362,12.518,,POINT (724992.4536522274 5029520.569841222)
6597549625,5029422.781088349,724997.3747075441,,4,11.8739255,45.3821555,11.559,,POINT (724997.3747075441 5029422.781088349)
703495323,5029105.39793909,725157.7397708446,crossing,3,11.8758265,45.3792507,11.535,,POINT (725157.7397708446 5029105.39793909)
703781703,5029040.161945658,725126.4102467748,,1,11.8753971,45.3786743,12.042,,POINT (725126.4102467748 5029040.161945658)
703498646,5029102.063038115,725199.1719022834,,3,11.8763535,45.3792074,11.82,,POINT (725199.1719022834 5029102.063038115)
703498667,5029001.447272336,725140.2745868382,crossing,4,11.8755563,45.3783218,10.953,,POINT (725140.2745868382 5029001.447272336)
703498647,5029129.196573012,725203.6184454251,,1,11.8764226,45.3794499,12.616,,POINT (725203.6184454251 5029129.196573012)
